TZState,StateName,TZ,ADJHRS,ADJHRSDST,DST,TZN,TZN2,TSN3,stdatedt,endatedt,Year,tzStart,tzEnd,tstdate,tendate,stdate,endate,endatep1
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2016,March 13,November 6,20160313,20161106,3/13/2016,11/6/2016,11/7/2016
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2017,March 12,November 5,20170312,20171105,3/12/2017,11/5/2017,11/6/2017
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2018,March 11,November 4,20180311,20181104,3/11/2018,11/4/2018,11/5/2018
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2019,March 10,November 3,20190310,20191103,3/10/2019,11/3/2019,11/4/2019
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2020,March 8,November 1,20200308,20201101,3/8/2020,11/1/2020,11/2/2020
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2021,March 14,November 7,20210314,20211107,3/14/2021,11/7/2021,11/8/2021
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2022,March 13,November 6,20220313,20221106,3/13/2022,11/6/2022,11/7/2022
RI,Rhode Island,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2023,March 12,November 5,20230312,20231105,3/12/2023,11/5/2023,11/6/2023
SC,South Carolina,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2010,14-Mar,7-Nov,20100314,20101107,3/14/2010,11/7/2010,11/8/2010
SC,South Carolina,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2011,13-Mar,6-Nov,20110313,20111106,3/13/2011,11/6/2011,11/7/2011
SC,South Carolina,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2012,11-Mar,4-Nov,20120311,20121104,3/11/2012,11/4/2012,11/5/2012
SC,South Carolina,EST,5,4,Y,Eastern Standard Time (EST),NULL,NULL,00:00.0,00:00.0,2013,10-Mar,3-Nov,20130310,20131103,3/10/2013,11/3/2013,11/4/2013
